;;;;;;;;;DEPOT NOM : >;Furoncle;Herpes;Nécrose
;;681;Le Point Ephemère;200 quai de Valmy;75010;Paris;;;;96;96;96
;;774;Ecole Charles Dullin;5 rue de l'Hôpital Saint-Louis;75010;Paris;;;;97;97;97
;;559;ARCADI;51, Rue du Faubourg St denis;75010;Paris;;;;98;98;98
;;775;Ecole Jacques Lecoq;57 rue du Fbg Saint-Denis;75010;Paris;;;;99;99;99
;;776;Conservatoire Hector Berlioz;6, rue Pierre Bullet;75010;Paris;;;;100;100;100
;;777;mairie du 10e;72 rue du faubourg sanit martin;75010;Paris;;;;101;101;101
;;778;Espace Kiron;10, rue de la Vacquerie;75011;Paris;;;;102;102;102
;;779;Ménagerie de Verre;12 / 14 rue Léchevin;75011;Paris;;;;103;103;103
;;780;Cours Simon;14, rue de la Vacquerie;75011;Paris;;;;104;104;104
;;781;Le local;18 rue de l'Orillon;75011;Paris;;;;105;105;105
;;782;BIBLIOTHEQUE ADULTE FAIDHERBE;18-20, rue Faidherbe;75011;Paris;;;;106;106;106
;;783;BIBLIOTHEQUE ADULTE PARMENTIER;20, bis avenue Parmentier;75011;Paris;;;;107;107;107
;;784;Librairie Quilombo;23 rue Voltaire;75011;Paris;;;;108;108;108
;;785;Librairie La Friche;36 rue Léon Frot;75011;Paris;;;;109;109;109
;;786;Artistic Athévain;45 bis rue Richard Lenoir;75011;Paris;;;;110;110;110
;;787;Café de la Danse;5, passage Louis Philippe;75011;Paris;;;;111;111;111
;;788;Pôle Emploi Spectacle;50, rue de Malte;75011;Paris;;;;112;112;112
;;789;Librairie la Manœuvre;58 rue de la Roquette;75011;Paris;;;;113;113;113
;;790;Théâtre de la Bastille ;76 rue de la Roquette;75011;Paris;;;;114;114;114
;;791;Librairie L'Arbre à lettres;62 rue du faubourg St Antoine;75011;Paris;;;;115;115;115
;;560;Hors les murs;68 rue de la folie méricourt;75011;Paris;;;;116;116;116
;;792;Conservatoire Charles Münch;7, rue Duranti;75011;Paris;;;;117;117;117
;;793;Maison des métallos;94 rue Jean-Pierre Timbaud;75011;Paris;;;;118;118;118
;;794;La cartoucherie Théâtre du Soleil;route du Champ de manœuvre ;75012;Paris;;;;119;119;119
;;795;La cartoucherie Théatre de la Tempète;route du Champ de manœuvre ;75012;Paris;;;;120;120;120
;;796;La cartoucherie Théatre de L'aquirium ;route du Champ de manœuvre ;75012;Paris;;;;121;121;121
;;797;Conservatoire Darius Milhaud;26, rue Mouton Duvernet;75014;Paris;;;;122;122;122
;;798;ANRAT;38, rue du faubourg St Jacques;75014;Paris;;;;123;123;123
;;799;Théâtre de la Cité internationale ;17 bld Jourdan ;75014;Paris;;;;124;124;124
;;800;Conservatoire Frédéric Chopin;43 rue Bargue;75015;Paris;;;;125;125;125
;;801;Conservatoire Claude Debussy;29, avenue de Villiers;75017;Paris;;;;126;126;126
;;562;Centre national du Théâtre;134, rue Legendre;75017;Paris;;;;127;127;127
;;630;Le Petit ney;10 avenue de la porte Montmartre;75018;Paris;;;;128;128;128
;;802;Cons. municipal du 18 eme;29 rue Baudelique;75018;Paris;;;;129;129;129
;;697;FEMIS - Bureau des élèves;6, rue Francoeur ;75018;Paris;;;;130;130;130
;;803;LE VENT SE LEVE;181 avenue Jean-Jaurès;75019;Paris;;;;131;131;131
;;804;Cours Florent;37/39 avenue Jean-Jaurès;75019;Paris;;;;132;132;132
;;805;Cours Florent;40 rue Mathis ;75019;Paris;;;;133;133;133
;;806;L’ATELIER DU PLATEAU;5, rue du Plateau;75019;Paris;;;;134;134;134
;;807;Le Rosa Bonheur  ;"Parc des Buttes Chaumont
2, allée de la Cascade
";75019;Paris;;;;135;135;135
;;808;Acting International ;55 rue des Allouettes;75019;Paris;;;;136;136;136
;;809;Conservatoire Jacques Ibert;81, rue Armand Carrel;75019;Paris;;;;137;137;137
;;810;Confluences;190 bd de charonne;75020;Paris;;;;138;138;138
;;567;IRMA;22 rue Solleillet;75020;Paris;;;;139;139;139
;;811;Au QG formation;26 rue des Grands Champs;75020;Paris;;;;140;140;140
;;812;Théâtre de la Colline  ;15 rue Malte Brun ;75020;Paris;;;;141;141;141
;;813;Librairie Le Merle moqueur;51, rue de Bagnolet;75020;Paris;;;;142;142;142
;;814;Conservatoire Georges Bizet;54, rue des Cendriers;75020;Paris;;;;143;143;143
;;569;AFDAS;66/72 rue Stendhal;75020;Paris;;;;144;144;144
;;697;La Femis  école ;6 rue Francoeur;75018;Paris;;;;145;145;145
;;815;Librairie Anima;3 rue Ravignan;75018;Paris;;;;146;146;146
;;816;Librairie L'Humeur Vagabonde;44 rue du Poteau;75018;Paris;;;;147;147;147
;;817;LIBRAIRIE VENDREDI ;67, rue des Martyrs;75018;Paris;;;;148;148;148
;;818;Ecole Nat Sup d'Architecture de Paris ;60 boulevard de la Villette ;75019;Paris;;;;149;149;149
;;819;Boutique livres et DVD Mk2 Quai de Loire  ;7 quai de Loire;75019;Paris;;;;150;150;150
;;820;Librairie du 104 et Accueil du 104;5, rue Curial;75019;Paris;;;;151;151;151
;;821;La Maroquinerie  (salle de concert/ restau);23 rue Boyer ;75020;Paris;;;;152;152;152
;;822;La Bellevilloise   (café, concerts, événements) ;21 rue Boyer ;75020;Paris;;;;153;153;153
;;823;librairie Le Comptoir des mots;239 rue des pyrénées;75020;Paris;;;;154;154;154
;;824;Librairie Le Genre Urbain;30 rue de Belleville;75020;Paris;;;;155;155;155
;;825;Librairie L'équipage;61 rue de Bagnolet;75020;Paris;;;;156;156;156
;;826;Librairie Gâtines;9, rue des Gâtines;75020;Paris;;;;157;157;157
;;827;Théâtre de l'Echangeur ;59 Avenue du Général de Gaulle  ;93170; Bagnolet;;;;158;158;158
;;828; Mains D'oeuvres (salle de concerts, événements);1 rue Charles Garnier ;93400;Saint-Ouen ;;;;159;159;159
;;829;Anis Gras  (lieu de création); 55, avenue Laplace ;94110;Arcueil ;;;;160;160;160
